tenant_id,tenant_name,tenant_status
TNT-0085,"Harris, Dunn and Stephens ",Inactive
TNT-0086,Peters-Cohen ,Inactive
TNT-0087,"Graham, Wilson and Robinson ",Active
TNT-0088,Gray LLC ,Suspended
TNT-0089,Soto Ltd ,Active
TNT-0090,Lopez and Sons ,Suspended
TNT-0091,"Shea, Davis and Wong ",Inactive
TNT-0092,Leon-Stephens ,Active
TNT-0093,"Brooks, Leon and Hughes ",Active
TNT-0094,Foley and Sons ,Inactive
TNT-0095,Lopez-Snow ,Active
TNT-0096,Ramsey Inc ,Inactive
TNT-0097,"Orr, Brewer and Kim ",Active
TNT-0098,Warren-Russell ,Inactive
TNT-0099,"Harris, Greene and Lynch ",Inactive
TNT-0100,Swanson-Goodwin ,Active
TNT-0101,Simon LLC ,Inactive
TNT-0102,Davis Group ,Inactive
TNT-0103,"Welch, Delgado and Rosales ",Active
TNT-0104,Silva PLC ,Suspended
TNT-0105,Strickland Group ,Inactive
TNT-0106,"Mullins, Sanford and Lloyd ",Suspended
TNT-0107,Graham-Saunders ,Inactive
TNT-0108,"Tanner, Coleman and Butler ",Inactive
TNT-0109,Leonard-Bell ,Active
TNT-0110,Marsh-Singh ,Inactive
TNT-0111,Gallegos-Franco ,Active
TNT-0112,"Smith, Richardson and Cooper ",Inactive
TNT-0113,Rios-Robbins ,Suspended
TNT-0114,Freeman LLC ,Active
TNT-0115,Morse-Hodges ,Inactive
TNT-0116,"Guzman, Porter and Smith ",Suspended
TNT-0117,Foster-Simmons ,Active
TNT-0118,"Duncan, Miles and Simpson ",Suspended
TNT-0119,"Shelton, Garza and Johnson ",Active
TNT-0120,Peters-Mason ,Active
TNT-0121,Curry-Johnson ,Inactive
TNT-0122,Stephenson PLC ,Active
TNT-0123,Mitchell-Davis ,Suspended
TNT-0124,Cowan Inc ,Active
TNT-0125,"Williams, Esparza and Rivera ",Inactive
TNT-0126,Chambers-Watkins ,Suspended
TNT-0127,Johnson-Graham ,Inactive
TNT-0128,Vega LLC ,Inactive
TNT-0129,Bean-Yu ,Inactive
TNT-0130,"Castillo, Thomas and Beasley ",Suspended
TNT-0131,Brown LLC ,Inactive
TNT-0132,Barron-Pacheco ,Inactive
TNT-0133,"Smith, Shea and Henry ",Inactive
TNT-0134,"Hill, Lucas and Nelson ",Inactive
TNT-0135,"Barrett, Burke and Harris ",Inactive
TNT-0136,Jensen PLC ,Active
TNT-0137,Young-Carter ,Active
TNT-0138,Mason-Watson ,Inactive
TNT-0139,Hendricks LLC ,Active
TNT-0140,Oconnor-Campbell ,Active
TNT-0141,Klein-Bernard ,Active
TNT-0142,Lara Group ,Inactive
TNT-0143,Kennedy-Finley ,Active
TNT-0144,"Parker, White and Graham ",Inactive
TNT-0145,Jones-Smith ,Suspended
TNT-0146,Stephenson LLC ,Suspended
TNT-0147,Moran Ltd ,Suspended
TNT-0148,"Jones, Anderson and Phillips ",Inactive
TNT-0149,"Robles, Beck and Andersen ",Suspended
TNT-0150,Mitchell-Trujillo ,Active
TNT-0151,"Miller, Larson and Gray ",Inactive
TNT-0152,"Torres, Carrillo and Mason ",Active
TNT-0153,Rodriguez-Cabrera ,Suspended
TNT-0154,Sherman LLC ,Inactive
TNT-0155,White Group ,Inactive
TNT-0156,"Townsend, Juarez and Riley ",Suspended
TNT-0157,Adams PLC ,Inactive
TNT-0158,Guerrero Inc ,Active
TNT-0159,"Gordon, Hernandez and Carroll ",Active
TNT-0160,Arroyo LLC ,Active
TNT-0161,"Garrison, Good and Phillips ",Active
TNT-0162,"Jackson, Sutton and Williams ",Active
TNT-0163,Beltran PLC ,Active
TNT-0164,Suarez Group ,Active
TNT-0165,Ali and Sons ,Active
TNT-0166,"Johnson, Gonzalez and Vazquez ",Suspended
TNT-0167,"Davis, Ramirez and Jones ",Inactive
TNT-0168,Ayala-Callahan ,Active
TNT-0169,Cook Group ,Inactive
TNT-0170,Manning-Cooper ,Inactive
TNT-0171,Hodge LLC ,Inactive
TNT-0172,Estrada-Wilson ,Inactive
TNT-0173,Peters-Morales ,Active
TNT-0174,"Lyons, Kelly and Reyes ",Active
TNT-0175,Harris LLC ,Active
TNT-0176,"Hughes, Hughes and Page ",Inactive
TNT-0177,"Mills, Patel and Smith ",Active
TNT-0178,"Stephens, Turner and Hunter ",Inactive
TNT-0179,Stone-Sanchez ,Suspended
TNT-0180,Colon-Ortiz ,Suspended
TNT-0181,"Higgins, Garcia and Clark ",Suspended
TNT-0182,Woods-Becker ,Suspended
TNT-0183,Barry-Fritz ,Active
TNT-0184,"Hogan, Cantrell and Thomas ",Active
TNT-0185,"Hunt, Garcia and Smith ",Suspended
TNT-0186,Palmer PLC ,Suspended
TNT-0187,Kim Group ,Active
TNT-0188,"Krueger, Lee and Torres ",Suspended
TNT-0189,Clark and Sons ,Inactive
TNT-0190,Nielsen-Patterson ,Suspended
TNT-0191,Dominguez-Bell ,Inactive
TNT-0192,"Davis, Burton and Perkins ",Active
TNT-0193,Gilbert-Rangel ,Inactive
TNT-0194,Cunningham Inc ,Suspended
TNT-0195,"Austin, Lang and Clark ",Suspended
TNT-0196,Mathis-Young ,Active
TNT-0197,Marshall-Webb ,Active
TNT-0198,Sanchez-Smith ,Active
TNT-0199,"Marquez, Thomas and Clark ",Inactive
TNT-0200,Long-Ritter ,Active
